Descriptores,2008|Total,2008|Financiamiento|Total de residentes,2008|Financiamiento|Hogares,2008|Financiamiento|ISFL,2008|Financiamiento|Total de gobierno,2008|Financiamiento|Niveles de gobierno|Gobierno federal,2008|Financiamiento|Niveles de gobierno|Gobierno estatal,2008|Financiamiento|Niveles de gobierno|Gobierno municipal,2008|Financiamiento|Sociedades no financieras,2008|Financiamiento|Total no residentes,2009|Total,2009|Financiamiento|Total de residentes,2009|Financiamiento|Hogares,2009|Financiamiento|ISFL,2009|Financiamiento|Total de gobierno,2009|Financiamiento|Niveles de gobierno|Gobierno federal,2009|Financiamiento|Niveles de gobierno|Gobierno estatal,2009|Financiamiento|Niveles de gobierno|Gobierno municipal,2009|Financiamiento|Sociedades no financieras,2009|Financiamiento|Total no residentes,2010|Total,2010|Financiamiento|Total de residentes,2010|Financiamiento|Hogares,2010|Financiamiento|ISFL,2010|Financiamiento|Total de gobierno,2010|Financiamiento|Niveles de gobierno|Gobierno federal,2010|Financiamiento|Niveles de gobierno|Gobierno estatal,2010|Financiamiento|Niveles de gobierno|Gobierno municipal,2010|Financiamiento|Sociedades no financieras,2010|Financiamiento|Total no residentes,2011|Total,2011|Financiamiento|Total de residentes,2011|Financiamiento|Hogares,2011|Financiamiento|ISFL,2011|Financiamiento|Total de gobierno,2011|Financiamiento|Niveles de gobierno|Gobierno federal,2011|Financiamiento|Niveles de gobierno|Gobierno estatal,2011|Financiamiento|Niveles de gobierno|Gobierno municipal,2011|Financiamiento|Sociedades no financieras,2011|Financiamiento|Total no residentes,2012|Total,2012|Financiamiento|Total de residentes,2012|Financiamiento|Hogares,2012|Financiamiento|ISFL,2012|Financiamiento|Total de gobierno,2012|Financiamiento|Niveles de gobierno|Gobierno federal,2012|Financiamiento|Niveles de gobierno|Gobierno estatal,2012|Financiamiento|Niveles de gobierno|Gobierno municipal,2012|Financiamiento|Sociedades no financieras,2012|Financiamiento|Total no residentes,2013|Total,2013|Financiamiento|Total de residentes,2013|Financiamiento|Hogares,2013|Financiamiento|ISFL,2013|Financiamiento|Total de gobierno,2013|Financiamiento|Niveles de gobierno|Gobierno federal,2013|Financiamiento|Niveles de gobierno|Gobierno estatal,2013|Financiamiento|Niveles de gobierno|Gobierno municipal,2013|Financiamiento|Sociedades no financieras,2013|Financiamiento|Total no residentes,2014|Total,2014|Financiamiento|Total de residentes,2014|Financiamiento|Hogares,2014|Financiamiento|ISFL,2014|Financiamiento|Total de gobierno,2014|Financiamiento|Niveles de gobierno|Gobierno federal,2014|Financiamiento|Niveles de gobierno|Gobierno estatal,2014|Financiamiento|Niveles de gobierno|Gobierno municipal,2014|Financiamiento|Sociedades no financieras,2014|Financiamiento|Total no residentes,2015|Total,2015|Financiamiento|Total de residentes,2015|Financiamiento|Hogares,2015|Financiamiento|ISFL,2015|Financiamiento|Total de gobierno,2015|Financiamiento|Niveles de gobierno|Gobierno federal,2015|Financiamiento|Niveles de gobierno|Gobierno estatal,2015|Financiamiento|Niveles de gobierno|Gobierno municipal,2015|Financiamiento|Sociedades no financieras,2015|Financiamiento|Total no residentes,2016|Total,2016|Financiamiento|Total de residentes,2016|Financiamiento|Hogares,2016|Financiamiento|ISFL,2016|Financiamiento|Total de gobierno,2016|Financiamiento|Niveles de gobierno|Gobierno federal,2016|Financiamiento|Niveles de gobierno|Gobierno estatal,2016|Financiamiento|Niveles de gobierno|Gobierno municipal,2016|Financiamiento|Sociedades no financieras,2016|Financiamiento|Total no residentes,2017|Total,2017|Financiamiento|Total de residentes,2017|Financiamiento|Hogares,2017|Financiamiento|ISFL,2017|Financiamiento|Total de gobierno,2017|Financiamiento|Niveles de gobierno|Gobierno federal,2017|Financiamiento|Niveles de gobierno|Gobierno estatal,2017|Financiamiento|Niveles de gobierno|Gobierno municipal,2017|Financiamiento|Sociedades no financieras,2017|Financiamiento|Total no residentes,2018|Total<P>,2018|Financiamiento|Total de residentes<P>,2018|Financiamiento|Hogares<P>,2018|Financiamiento|ISFL<P>,2018|Financiamiento|Total de gobierno<P>,2018|Financiamiento|Niveles de gobierno|Gobierno federal<P>,2018|Financiamiento|Niveles de gobierno|Gobierno estatal<P>,2018|Financiamiento|Niveles de gobierno|Gobierno municipal<P>,2018|Financiamiento|Sociedades no financieras<P>,2018|Financiamiento|Total no residentes<P>,2019|Total<P>,2019|Financiamiento|Total de residentes<P>,2019|Financiamiento|Hogares<P>,2019|Financiamiento|ISFL<P>,2019|Financiamiento|Total de gobierno<P>,2019|Financiamiento|Niveles de gobierno|Gobierno federal<P>,2019|Financiamiento|Niveles de gobierno|Gobierno estatal<P>,2019|Financiamiento|Niveles de gobierno|Gobierno municipal<P>,2019|Financiamiento|Sociedades no financieras<P>,2019|Financiamiento|Total no residentes<P>
Millones de pesos a precios corrientes|Total cultura,532004.645,519419.874,431871.048,3471.24,53190.69,39448.917,13741.774,NA,30886.895,12584.771,550863.731,537611.807,446865.239,3375.616,57648.326,43118.956,14529.37,NA,29722.626,13251.924,582568.59,569236.637,476325.133,3742.402,58714.633,43346.319,15368.315,NA,30454.468,13331.953,614179.133,600756.044,497843.718,4006.207,65355.3,48592.831,16762.469,NA,33550.819,13423.089,658731.61,643499.304,532096.295,4432.915,72563.409,53835.791,18727.618,NA,34406.685,15232.306,677247.015,661051.057,554693.783,4619.568,67991.865,48861.057,19130.808,NA,33745.841,16195.958,692348.713,673377.432,564742.609,4717.163,69542.364,47843.751,21698.613,NA,34375.332,18971.281,734472.506,710961.606,590672.133,5085.279,74859.245,51510.102,23349.143,NA,40344.949,23510.9,759178.807,728925.676,601090.073,5494.224,78667.226,54133.279,24533.947,NA,43674.153,30253.131,811886.802,778633.464,647327.542,5885.637,80053.813,55165.899,24887.915,NA,45366.471,33253.338,890956.413,855125.738,708001.584,6636.441,88062.234,61799.534,26262.701,NA,52425.479,35830.675,909863.958,871285.281,725186.769,6947.116,85007.57,58113.804,26893.766,NA,54143.827,38578.677
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios,415333.368,402748.597,356520.454,3163.107,12178.141,12178.141,NA,NA,30886.895,12584.771,431535.155,418283.231,373662.551,3049.304,11848.75,11848.75,NA,NA,29722.626,13251.924,454457.637,441125.684,395236.871,3416.691,12017.654,12017.654,NA,NA,30454.468,13331.953,471962.337,458539.248,407471.484,3672.169,13844.776,13844.776,NA,NA,33550.819,13423.089,503163.137,487930.831,435882.084,4066.207,13575.855,13575.855,NA,NA,34406.685,15232.306,521771.065,505575.107,454227.466,4261.781,13340.019,13340.019,NA,NA,33745.841,16195.958,530778.123,511806.842,460173.265,4342.204,12916.077,12916.077,NA,NA,34375.332,18971.281,559196.757,535685.857,477588.241,4711.387,13041.28,13041.28,NA,NA,40344.949,23510.9,566936.741,536683.61,474541.764,5128.909,13338.784,13338.784,NA,NA,43674.153,30253.131,606948.177,573694.839,508541.385,5506.698,14280.285,14280.285,NA,NA,45366.471,33253.338,666474.75,630644.075,556548.686,6017.488,15652.423,15652.423,NA,NA,52425.479,35830.675,683008.212,644429.535,567583.084,6311.332,16391.293,16391.293,NA,NA,54143.827,38578.677
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,250072.861,237534.151,192460.405,3163.107,12169.407,12169.407,NA,NA,29741.232,12538.71,246818.423,233614.477,190280.87,3049.304,11829.388,11829.388,NA,NA,28454.915,13203.946,265165.547,251882.851,207450.877,3416.691,11971.795,11971.795,NA,NA,29043.488,13282.696,289628.616,276258.413,226780.567,3672.169,13807.416,13807.416,NA,NA,31998.261,13370.203,311617.121,296439.208,246185.142,4066.207,13575.17,13575.17,NA,NA,32612.689,15177.913,322387.089,306248.918,256739.679,4261.781,13333.933,13333.933,NA,NA,31913.525,16138.171,329001.025,310089.482,260424.312,4342.204,12903.511,12903.511,NA,NA,32419.491,18911.543,365280.243,341833.002,286149.649,4711.387,13040.162,13040.162,NA,NA,37931.804,23447.241,389738.422,359552.636,300647.837,5128.909,13338.765,13338.765,NA,NA,40437.125,30185.786,421636.695,388456.112,325780.513,5506.698,14280.274,14280.274,NA,NA,42888.627,33180.583,456290.878,420533.372,349325.204,6017.488,15652.422,15652.422,NA,NA,49538.259,35757.506,466561.962,428055.199,353884.577,6311.332,16391.292,16391.292,NA,NA,51467.999,38506.763
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,146099.667,137261.496,97252.341,3163.107,11581.36,11581.36,NA,NA,25264.688,8838.171,139911.848,130540.919,92365.585,3049.304,11239.278,11239.278,NA,NA,23886.752,9370.929,148156.957,138665.988,99661.073,3416.691,11370.731,11370.731,NA,NA,24217.493,9490.969,164619.897,155011.406,111390.891,3672.169,13160.203,13160.203,NA,NA,26788.143,9608.491,177790.657,166849.795,123199.884,4066.207,12713.313,12713.313,NA,NA,26870.391,10940.862,180281.828,168650.523,126420.374,4261.781,12592.298,12592.298,NA,NA,25376.07,11631.305,179865.864,166248.536,124835.559,4342.204,11914.804,11914.804,NA,NA,25155.969,13617.328,203556.532,186685.9,140061.073,4711.387,12014.736,12014.736,NA,NA,29898.704,16870.632,219480.804,197495.268,148419.868,5128.909,12558.499,12558.499,NA,NA,31387.992,21985.536,235596.703,211404.851,159372.543,5506.698,13504.957,13504.957,NA,NA,33020.653,24191.852,259968.674,233789.988,173255.374,6017.488,14816.795,14816.795,NA,NA,39700.331,26178.686,268188.776,239977.669,177578.303,6311.332,15823.751,15823.751,NA,NA,40264.283,28211.107
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,102349.473,94341.997,68938.265,3163.107,5507.023,5507.023,NA,NA,16733.602,8007.476,99572.527,91089.127,66441.078,3049.304,5353.607,5353.607,NA,NA,16245.138,8483.4,110399.311,101759.708,74366.799,3416.691,6115.808,6115.808,NA,NA,17860.41,8639.603,117991.276,109217.921,79772.192,3672.169,6765.043,6765.043,NA,NA,19008.517,8773.355,130546.623,120543.793,88140.93,4066.207,7765.399,7765.399,NA,NA,20571.257,10002.83,136427.357,125749.433,92412.098,4261.781,8164.262,8164.262,NA,NA,20911.292,10677.924,140399.261,127885.673,94219.291,4342.204,8246.786,8246.786,NA,NA,21077.392,12513.588,154820.604,139343.416,102287.897,4711.387,8832.549,8832.549,NA,NA,23511.583,15477.188,171223.759,151019.717,110587.633,5128.909,10440.106,10440.106,NA,NA,24863.069,20204.042,184226.289,161968.287,118645.761,5506.698,11323.903,11323.903,NA,NA,26491.925,22258.002,201196.734,177049.713,129061.131,6017.488,12991.853,12991.853,NA,NA,28979.241,24147.021,211194.831,185165.43,135452.745,6311.332,13571.426,13571.426,NA,NA,29829.927,26029.401
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,723.271,622.607,78.788,NA,7.693,7.693,NA,NA,536.126,100.664,800.986,679.086,109.57600000000001,NA,9.315999999999999,9.315999999999999,NA,NA,560.194,121.9,1262.759,1149.595,176.459,NA,14.846,14.846,NA,NA,958.2900000000001,113.164,2158.328,2048.058,432.01599999999996,NA,13.774,13.774,NA,NA,1602.268,110.27,2549.869,2431.505,477.783,NA,41.248999999999995,41.248999999999995,NA,NA,1912.473,118.364,1971.366,1883.534,461.17699999999996,NA,30.342,30.342,NA,NA,1392.015,87.832,1107.655,1036.626,247.21099999999998,NA,11.527999999999999,11.527999999999999,NA,NA,777.887,71.029,1112.86,1042.165,179.76100000000002,NA,4.827,4.827,NA,NA,857.5770000000001,70.695,1504.144,1419.307,277.551,NA,0.034,0.034,NA,NA,1141.722,84.837,1538.052,1455.736,296.948,NA,0.017,0.017,NA,NA,1158.771,82.316,6318.388,6229.066,1583.4950000000001,NA,NA,NA,NA,NA,4645.571,89.322,5313.806,5231.005,1053.584,NA,NA,NA,NA,NA,4177.421,82.801
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,21361.255,21281.456,12535.332999999999,NA,3404.37,3404.37,NA,NA,5341.753,79.799,17747.847,17664.22,10153.055,NA,2951.05,2951.05,NA,NA,4560.115000000001,83.627,17153.535,17072.753,11172.685000000001,NA,2868.974,2868.974,NA,NA,3031.094,80.782,22257.739,22178.295,15282.152,NA,3267.626,3267.626,NA,NA,3628.517,79.444,20493.703,20404.313,16672.519,NA,2129.313,2129.313,NA,NA,1602.481,89.39,18140.058,18047.668,15359.073999999999,NA,1678.0170000000003,1678.0170000000003,NA,NA,1010.577,92.39,14003.819,13897.256,11914.486,NA,1111.7289999999998,1111.7289999999998,NA,NA,871.0409999999999,106.563,19122.554,18985.435,16934.363999999998,NA,1043.6850000000002,1043.6850000000002,NA,NA,1007.3860000000001,137.119,18348.588,18173.688,17078.896,NA,56.309999999999995,56.309999999999995,NA,NA,1038.4819999999997,174.9,19859.376,19677.509,18903.438000000002,NA,25.166,25.166,NA,NA,748.9050000000001,181.867,22004.958,21823.623,21089.862999999998,NA,1.119,1.119,NA,NA,732.641,181.335,21021.053,20814.126,20299.623,NA,0.98,0.98,NA,NA,513.523,206.927
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",2927.966,2927.966,728.566,NA,NA,NA,NA,NA,2199.4,NA,2990.995,2990.995,962.49,NA,NA,NA,NA,NA,2028.505,NA,3127.061,3127.061,1132.268,NA,NA,NA,NA,NA,1994.793,NA,3615.063,3615.063,1501.592,NA,NA,NA,NA,NA,2113.471,NA,3667.641,3667.641,1540.209,NA,NA,NA,NA,NA,2127.432,NA,4108.313,4108.313,2622.783,NA,NA,NA,NA,NA,1485.53,NA,5126.494,5126.494,3141.865,NA,NA,NA,NA,NA,1984.629,NA,8104.803,8104.803,4202.375,NA,NA,NA,NA,NA,3902.428,NA,7514.511,7514.511,3650.562,NA,NA,NA,NA,NA,3863.949,NA,8250.671,8250.671,4073.927,NA,NA,NA,NA,NA,4176.744,NA,9484.488,9484.488,4594.867,NA,NA,NA,NA,NA,4889.621,NA,10204.374,10204.374,5024.831,NA,NA,NA,NA,NA,5179.543,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,2730.053,2730.053,1842.314,NA,433.942,433.942,NA,NA,453.797,NA,2791.946,2791.946,2002.884,NA,296.264,296.264,NA,NA,492.798,NA,2322.751,2322.751,1839.687,NA,110.161,110.161,NA,NA,372.903,NA,2641.958,2641.958,2039.938,NA,166.84,166.84,NA,NA,435.18,NA,3520.35,3520.35,2478.043,NA,385.569,385.569,NA,NA,656.738,NA,3275.552,3275.552,2531.472,NA,167.438,167.438,NA,NA,576.642,NA,3181.466,3181.466,2727.566,NA,8.884,8.884,NA,NA,445.016,NA,4010.037,4010.037,3385.44,NA,4.873,4.873,NA,NA,619.724,NA,3874.877,3874.877,3394.003,NA,0.106,0.106,NA,NA,480.768,NA,3929.77,3929.77,3485.41,NA,0.054,0.054,NA,NA,444.306,NA,4405.964,4405.964,3952.709,NA,NA,NA,NA,NA,453.255,NA,4658.043,4658.043,4094.174,NA,NA,NA,NA,NA,563.869,NA
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",15850.206,15199.974,12971.632,NA,2228.332,2228.332,NA,NA,0.01,650.232,15851.938,15169.936,12540.893,NA,2629.041,2629.041,NA,NA,0.002,682.0020000000001,13720.803,13063.383,10802.438,NA,2260.942,2260.942,NA,NA,0.003,657.42,15768.578,15123.156,12176.046,NA,2946.92,2946.92,NA,NA,0.19,645.422,16805.742,16075.464,13683.671,NA,2391.783,2391.783,NA,NA,0.01,730.278,16164.85,15391.691,12839.438,NA,2552.239,2552.239,NA,NA,0.014,773.159,15856.724,14930.576,12394.695,NA,2535.877,2535.877,NA,NA,0.004,926.148,16180.845,14995.215,12866.407,NA,2128.802,2128.802,NA,NA,0.006,1185.63,16795.408,15273.651,13211.706,NA,2061.943,2061.943,NA,NA,0.002,1521.757,17560.842,15891.175,13735.356,NA,2155.817,2155.817,NA,NA,0.002,1669.667,16315.336,14554.328,12730.503,NA,1823.823,1823.823,NA,NA,0.002,1761.008,15553.968,13661.99,11410.645,NA,2251.345,2251.345,NA,NA,NA,1891.9779999999998
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",157.443,157.443,157.443,NA,NA,NA,NA,NA,NA,NA,155.609,155.609,155.609,NA,NA,NA,NA,NA,NA,NA,170.737,170.737,170.737,NA,NA,NA,NA,NA,NA,NA,186.955,186.955,186.955,NA,NA,NA,NA,NA,NA,NA,206.729,206.729,206.729,NA,NA,NA,NA,NA,NA,NA,194.332,194.332,194.332,NA,NA,NA,NA,NA,NA,NA,190.445,190.445,190.445,NA,NA,NA,NA,NA,NA,NA,204.829,204.829,204.829,NA,NA,NA,NA,NA,NA,NA,219.517,219.517,219.517,NA,NA,NA,NA,NA,NA,NA,231.703,231.703,231.703,NA,NA,NA,NA,NA,NA,NA,242.806,242.806,242.806,NA,NA,NA,NA,NA,NA,NA,242.701,242.701,242.701,NA,NA,NA,NA,NA,NA,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,103973.194,100272.655,95208.064,NA,588.047,588.047,NA,NA,4476.544,3700.539,106906.575,103073.558,97915.285,NA,590.11,590.11,NA,NA,4568.163,3833.017,117008.59,113216.863,107789.804,NA,601.064,601.064,NA,NA,4825.995,3791.727,125008.719,121247.007,115389.676,NA,647.213,647.213,NA,NA,5210.118,3761.712,133826.464,129589.413,122985.258,NA,861.857,861.857,NA,NA,5742.298,4237.051,142105.261,137598.395,130319.305,NA,741.635,741.635,NA,NA,6537.455,4506.866,149135.161,143840.946,135588.753,NA,988.707,988.707,NA,NA,7263.522,5294.215,161723.711,155147.102,146088.576,NA,1025.426,1025.426,NA,NA,8033.1,6576.609,170257.618,162057.368,152227.969,NA,780.266,780.266,NA,NA,9049.133,8200.25,186039.992,177051.261,166407.97,NA,775.317,775.317,NA,NA,9867.974,8988.731,196322.204,186743.384,176069.83,NA,835.627,835.627,NA,NA,9837.928,9578.82,198373.186,188077.53,176306.274,NA,567.541,567.541,NA,NA,11203.716,10295.656
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,11.344,11.344,11.344,NA,NA,NA,NA,NA,NA,NA,11.775,11.775,11.775,NA,NA,NA,NA,NA,NA,NA,12.5,12.5,12.5,NA,NA,NA,NA,NA,NA,NA,13.36,13.36,13.36,NA,NA,NA,NA,NA,NA,NA,14.22,14.22,14.22,NA,NA,NA,NA,NA,NA,NA,14.689,14.689,14.689,NA,NA,NA,NA,NA,NA,NA,15.278,15.278,15.278,NA,NA,NA,NA,NA,NA,NA,15.084,15.084,15.084,NA,NA,NA,NA,NA,NA,NA,15.838,15.838,15.838,NA,NA,NA,NA,NA,NA,NA,16.747,16.747,16.747,NA,NA,NA,NA,NA,NA,NA,17.503,17.503,17.503,NA,NA,NA,NA,NA,NA,NA,18.451,18.451,18.451,NA,NA,NA,NA,NA,NA,NA
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",16277.138,13390.635,13390.635,NA,NA,NA,NA,NA,NA,2886.503,15767.744,12776.804,12776.804,NA,NA,NA,NA,NA,NA,2990.94,17249.58,14286.93,14286.93,NA,NA,NA,NA,NA,NA,2962.65,18618.224,15682.276,15682.276,NA,NA,NA,NA,NA,NA,2935.9480000000003,19977.19,16678.214,16678.214,NA,NA,NA,NA,NA,NA,3298.976,21819.011,18296.005,18296.005,NA,NA,NA,NA,NA,NA,3523.006,22990.266,18826.891,18826.891,NA,NA,NA,NA,NA,NA,4163.375,23891.363,18717.588,18717.588,NA,NA,NA,NA,NA,NA,5173.775,26453.449,19955.167,19955.167,NA,NA,NA,NA,NA,NA,6498.281999999999,29071.01,21921.568,21921.568000000003,NA,NA,NA,NA,NA,NA,7149.442,30601.786,22982.176,22982.176,NA,NA,NA,NA,NA,NA,7619.610000000001,31880.127,23666.853,23666.853,NA,NA,NA,NA,NA,NA,8213.274
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,12263.864,12263.864,12168.046,NA,NA,NA,NA,NA,95.818,NA,12558.776,12558.776,12386.643,NA,NA,NA,NA,NA,172.133,NA,14634.073,14634.073,14468.739,NA,NA,NA,NA,NA,165.334,NA,15948.068,15948.068,15794.986,NA,NA,NA,NA,NA,153.082,NA,18479.259,18479.259,18241.878,NA,NA,NA,NA,NA,237.381,NA,20422.069,20422.069,20079.652,NA,NA,NA,NA,NA,342.417,NA,22165.202,22165.202,21767.328,NA,NA,NA,NA,NA,397.874,NA,25979.77,25979.77,25480.564,NA,NA,NA,NA,NA,499.206,NA,30563.428,30563.428,29918.005,NA,NA,NA,NA,NA,645.423,NA,33064.131,33064.131,32366.219,NA,NA,NA,NA,NA,697.912,NA,33994.083,33994.083,33270.237,NA,NA,NA,NA,NA,723.846,NA,39078.675,39078.675,38090.17,NA,NA,NA,NA,NA,988.505,NA
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",150.883,140.864,124.63799999999999,NA,16.226,16.226,NA,NA,NA,10.019,160.595,150.053,135.784,NA,14.269,14.269,NA,NA,NA,10.542,170.136,159.83,149.76,NA,10.07,10.07,NA,NA,NA,10.306,173.882,163.786,150.668,NA,13.118,13.118,NA,NA,NA,10.096,190.636,179.253,140.456,NA,38.797,38.797,NA,NA,NA,11.383,198.962,186.868,164.78,NA,22.088,22.088,NA,NA,NA,12.094,205.693,191.271,183.171,NA,8.1,8.1,NA,NA,NA,14.422,211.491,193.231,189.792,NA,3.439,3.439,NA,NA,NA,18.26,222.156,199.019,199.01800000000003,NA,0.001,0.001,NA,NA,NA,23.137,232.711,207.403,207.082,NA,0.321,0.321,NA,NA,NA,25.308,243.796,216.807,216.138,NA,0.669,0.669,NA,NA,NA,26.989,260.111,230.801,230.094,NA,0.707,0.707,NA,NA,NA,29.31
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",11868.808,11868.808,11237.463999999998,NA,NA,NA,NA,NA,631.344,NA,11150.863,11150.863,10548.076000000001,NA,NA,NA,NA,NA,602.787,NA,11263.792,11263.792,10610.928000000002,NA,NA,NA,NA,NA,652.864,NA,11977.108,11977.108,11333.733999999999,NA,NA,NA,NA,NA,643.374,NA,12521.049,12521.049,11807.021,NA,NA,NA,NA,NA,714.028,NA,12541.905,12541.905,11912.474,NA,NA,NA,NA,NA,629.431,NA,12610.113,12610.113,12033.192000000001,NA,NA,NA,NA,NA,576.921,NA,13082.097,13082.097,12527.485999999999,NA,NA,NA,NA,NA,554.611,NA,12991.109,12991.109,12410.694999999998,NA,NA,NA,NA,NA,580.414,NA,13265.268,13265.268,12688.188999999998,NA,NA,NA,NA,NA,577.079,NA,12895.963,12895.963,12323.493,NA,NA,NA,NA,NA,572.47,NA,11690.762,11690.762,11078.658,NA,NA,NA,NA,NA,612.104,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,7043.532,7043.532,7023.335999999999,NA,20.196,20.196,NA,NA,NA,NA,7356.773,7356.773,7329.396,NA,27.377,27.377,NA,NA,NA,NA,7774.936,7774.936,7734.084,NA,40.852,40.852,NA,NA,NA,NA,8233.374,8233.374,8203.805,NA,29.569,29.569,NA,NA,NA,NA,8841.307,8841.307,8805.309,NA,35.998,35.998,NA,NA,NA,NA,9452.512,9452.512,9431.860999999999,NA,20.651,20.651,NA,NA,NA,NA,10075.677,10075.677,10066.679,NA,8.998,8.998,NA,NA,NA,NA,10469.607,10469.607,10462.413,NA,7.194,7.194,NA,NA,NA,NA,11104.455,11104.455,11104.451000000001,NA,0.004,0.004,NA,NA,NA,NA,11802.872,11802.872,11798.069,NA,4.803,4.803,NA,NA,NA,NA,12938.558,12938.558,12928.405,NA,10.153,10.153,NA,NA,NA,NA,13839.733,13839.733,13829.634,NA,10.099,10.099,NA,NA,NA,NA
